Rayyan Group of Companies,,,,
"12B Area, NewYork City, United States",,,,
Bill Voice,,,,
Bill no.,Name of Item,Rate (USD),Quantity,Amount
1,AI Model Development,5000,2,10000
2,Data Annotation Service,1500,5,7500
3,Cloud GPU Rental,300,10,3000
4,AI Consulting,2000,3,6000
5,Custom Chatbot Solution,4000,1,4000
6,Data Pipeline Setup,2500,2,5000
7,Predictive Analytics,3500,4,14000
8,AI Training Workshop,1200,6,7200
9,Model Deployment,4500,1,4500
10,AI Product Maintenance,1000,8,8000
,,Total,,69200
,,GST 15%,,10380
,,Grand Total,,58820
